ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
13649,Birmingham Coating Plant,410010,288970,CEMEX UK Operations Ltd,Other mineral industries,124.1095282,England,52.498544593789404,-1.8539790209883065
12367,Bracknell,485540,169230,Daler-Rowney  Ltd,Chemical industry,122.9135455,England,51.41564452022943,-0.7713351141479962
40554,Scunthorpe COG Flaring,491770,410820,British Steel Ltd,Iron & steel industries,118.9285866,England,53.58594459185313,-0.6151842038831759
9241,West Thurrock,559000,177300,Industrial Chemicals Ltd,Chemical industry,110.4804982,England,51.47232611451343,0.2879370290514775
13680,Runcorn,350544,382824,Hanson Quarry Products Europe Ltd,Other mineral industries,104.9816073,England,53.33999250729631,-2.7442298239725424
12588,Kingston,490280,238590,Goldschmidt UK Ltd,Chemical industry,101.0727273,England,52.03837215868466,-0.6852309528650881
40269,Appleford,451339,193674,Hanson Quarry Products Europe Ltd,Other mineral industries,99.01778182,England,51.63953460697039,-1.2595272268254578
13655,Barrasford Asphalt,390900,574200,Lafarge Tarmac Trading Ltd,Other mineral industries,93.71124273,England,55.06219214727923,-2.1440093997951566
10816,Llantrisant,305600,181730,Maxibrite Ltd,Other fuel production,89.96181818,Wales,51.52656415244129,-3.362154032807154
8694,Bulmer Sudbury,583200,238000,Bulmer Brick & Tile Co Ltd,Other mineral industries,89.27272727,England,52.01018968110732,0.667937252419395
43108,Saltend Bioethanol Plant,516265,428187,Vivergo Fuels Ltd,Chemical industry,53.82872727,England,53.73711588539804,-0.23883771580783403
13467,Highcraig Quarry,243000,661500,Tarmac Ltd,Other mineral industries,43.92818182,Scotland,55.82114519800811,-4.507555184493701
12537,Stoke-On-Trent,389390,343920,Prince Minerals Ltd,Other mineral industries,33.36545455,England,52.992502904396694,-2.15951431828885
14252,Machen,322118,188641,Hanson Quarry Products Europe Ltd,Other mineral industries,23.45781,Wales,51.59121469995337,-3.1256375071167426
3092,Torrington,249245,119452,Dartington,Other mineral industries,22.3525244,England,50.95472619408292,-4.147762588602358
11685,Rhymney,310610,208342,Convatec Ltd,Chemical industry,19.30852364,Wales,51.76659422285225,-3.2967652092336572
13735,Winnington,365310,374000,Tata Chemicals Europe Ltd,Chemical industry,10.97811545,England,53.26185688365229,-2.5215075509317653
13765,Warrington,360006,386215,Perstorp UK Ltd,Chemical industry,8.933710909,England,53.371273152092854,-2.6025619476891553
14381,Alyn Works,323330,364790,TS Resins Ltd,Chemical industry,5.666727273,Wales,53.17467231304392,-3.1485245811509137
3117,Broxbourne,537969,206703,Nazeing Glassworks Ltd,Other mineral industries,5.588131101,England,51.74205229384259,-0.0031014442005635407
13850,Crieff,285670,720550,Caithness Glass,Other mineral industries,2.23525244,Scotland,56.36340500882083,-3.8522252923704197
13687,Renishaw,445039,377861,Lafarge Aggregates Ltd,Other mineral industries,2.192664545,England,53.29579973568943,-1.3257304867281114
13707,Lostock Soda Ash Manufacture,368657,374637,Tata Chemicals Europe Ltd,Chemical industry,1.576055455,England,53.267791529429914,-2.4713966231503393
3096,Ashbourne,418104,346615,Derwent,Other mineral industries,1.11762622,England,53.01653376166838,-1.7315895388717983
3091,Ulverston,329697,478704,Cumbria,Other mineral industries,1.11762622,England,54.19924826859675,-3.079155930112623
8067,South Ferriby,497400,421060,CEMEX UK Cement Ltd,Cement,0.198739091,England,53.67693928683022,-0.526965484252702
8343,Aldermaston,459800,163000,AWE Plc,Public administration,7821.861586,England,51.36292732737808,-1.1424660828355877
8365,Plymouth,245167,54723,Devonport Royal Dockyard Ltd,Public administration,3911.009275,England,50.37197852130225,-4.17868001557891
9077,Coulport,221000,687300,Babcock Naval Services Ltd,Public administration,1817.936746,Scotland,56.04500724125355,-4.875359561521815
