PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
13435,Lancaster,348387,463261,Lancaster Tissue Ltd,"Paper, printing & publishing industries",1212.353757,England
43107,Burton-On-Trent,423225,323356,Marston's Beer Company Ltd,"Food, drink & tobacco industry",1205.960416,England
12510,Llansantffraid,322100,320250,Wynnstay Group Plc,"Food, drink & tobacco industry",1196.914909,Wales
9586,Bolton General Hospital,371610,406450,White Rose Environmental Ltd,Commercial,1159.305144,England
14422,Kendal,351850,494250,Kendal Nutricare Ltd,"Food, drink & tobacco industry",1138.668477,England
14970,Grantham,493952,326812,McCain Foods (G.B.) Ltd,"Food, drink & tobacco industry",1131.905051,England
41379,Somercotes,441100,354470,Thorntons Ltd,"Food, drink & tobacco industry",1127.672727,England
8112,Tower Brewery,448110,443320,Coors Brewers Ltd,"Food, drink & tobacco industry",1124.644797,England
8178,St Cuthberts Mill,353160,146480,Inveresk Plc,"Paper, printing & publishing industries",1112.428875,England
12421,Bramley,423200,434510,Britvic Soft Drinks Ltd,"Food, drink & tobacco industry",1084.363636,England
10546,Lag Farm,351520,158640,Yeo Valley Farms (Production) Ltd,"Food, drink & tobacco industry",1074,England
9264,Hanworth,511080,170820,Dairy Crest Ltd,"Food, drink & tobacco industry",1068.272727,England
8882,Mansfield,456670,361800,Toray Textiles Europe Limted,"Textiles, clothing, leather & footwear",1068.164959,England
9632,Park Brewery,390800,298640,Marston's PLC,"Food, drink & tobacco industry",1027.297702,England
14631,Eye,614260,273810,1Stop Halal Ltd,"Food, drink & tobacco industry",1014.518182,England
9705,Bridge of Weir,239505,664821,Bridge of Weir Leather Co Ltd,"Textiles, clothing, leather & footwear",942.6645385,Scotland
14695,Ansty,440692,280840,RWG (Repair & Overhauls) Ltd,Commercial,939.8021373,England
8803,Westgate Brewery,585680,263770,Greene King Brewing & Retailing Ltd,"Food, drink & tobacco industry",906.7385482,England
13758,Greenwich Generating Station,538900,178000,London Underground Ltd,Commercial,898.9513773,England
11972,NestlÃƒÂ© Halifax Boiler House,409720,424860,Cofely Ltd,"Food, drink & tobacco industry",897.6105373,England
8902,Adastral Park,624850,245250,BT Plc,Commercial,884.9557833,England
13816,"Llysonnen Mill, CARMARTHEN",238288,219581,Llysonnen Mill EPR/EP3034GS,"Food, drink & tobacco industry",878.328,Wales
4653,Liskeard,226800,65000,Peake (GB) Ltd,Commercial,852.227825,England
8963,Birmingham International Airport,418400,283700,Birmingham International Airport Ltd,Commercial,845.7905219,England
43077,Watervole-1,457825,400753,Walker & Son (Hauliers) Ltd,Commercial,838.5210327,England
40508,Grimsby,525749,410969,Pelagia (UK) Ltd,"Food, drink & tobacco industry",824.3258755,England
14968,Newton Aycliffe,427935,521580,II-VI Compound Semiconductors Ltd,Electrical engineering,805.2634009,England
13880,"Bridge Road North, Wrexham Inudstrial Estate, Wrexham",338324,349656,Lloyds Animal Feeds Mill,"Food, drink & tobacco industry",797.4436364,Wales
14243,Ledbury,369690,237160,Heineken UK Ltd,"Food, drink & tobacco industry",781.1037273,England
13819,"Aber-Arad, Newcastle Emlyn",231530,240162,The Creamery,"Food, drink & tobacco industry",705.993,Wales
40534,Glen Ord Distillery and Maltings,251700,850800,Diageo Scotland Ltd,"Food, drink & tobacco industry",670.9505455,Scotland
8864,Tangmere Nursery,491200,106520,Tangmere Produce Ltd,"Agriculture, forestry & fishing",667.788,England
43186,Chichester Food Factory,485410,104240,Babynov Chichester Ltd,"Food, drink & tobacco industry",652.9090909,England
11970,Ellesmere Port Boiler House,339367,378256,Saica Pack UK Ltd,"Paper, printing & publishing industries",651.4808618,England
14662,London,533089,180904,20 Fenchurch Street Ltd Partnership,Commercial,621.61305,England
13463,Isleworth,516226,177804,British Sky Broadcasting Group plc,Commercial,620.2515245,England
40504,The 100 Bishopsgate Partnership,533209,181388,Brookfield Properties (UK PM) Ltd,Commercial,617.5918636,England
8879,Stansted Airport,555700,223700,Stansted Airport Ltd,Commercial,613.1155282,England
14860,"Spectrum Business Park, Wrexham",338067,349310,Cott Beverages,"Food, drink & tobacco industry",583.5654545,Wales
13579,Deeside Industrial Park,331790,371520,Farmers Boy (Deeside) Ltd,"Food, drink & tobacco industry",581.3659091,Wales
12011,Llanybydder,252680,244410,Dunbia (Wales) Ltd,"Food, drink & tobacco industry",561.4767404,Wales
7752,Sawley,379820,447160,Rose County Foods Ltd,"Food, drink & tobacco industry",553.5,England
1132,Stevenage,523570,223470,Glaxosmithkline Research & Development Ltd,Commercial,538.3838855,England
9102,Wrexham,338900,350800,Kellogg Co of Great Britain Ltd,"Food, drink & tobacco industry",508.4030591,Wales
43076,Balby-B,457947,401053,Walker & Son (Hauliers) Ltd,Commercial,507.3057682,England
9691,Baltic Works,338969,730109,Halley Stevensons Ltd,"Textiles, clothing, leather & footwear",487.7533636,Scotland
14218,"Media Village Primary Plant, Shepherd's Bush",523200,180900,Interserve (Facilities Management) Ltd,Commercial,466.3702145,England
40277,Cheshire Power Station,339061,378393,RWE Generation UK plc,"Paper, printing & publishing industries",465.2252155,England
11093,London,533400,181800,Allen & Overy LLP,Commercial,460.9456009,England
14219,Broadcasting House,528900,181600,Interserve (Facilities Management) Ltd,Commercial,460.84545,England
40524,King Edward Buildings,532008,181428,Bank of America Merrill Lynch International Designated Activity Co,Commercial,421.5811636,England
40509,William Harvey Hospital Steam Boilers and Generators,604090,142068,2gether Support Solutions Ltd,Commercial,406.7690482,England
9650,Porthleven,392000,797100,McIntosh Donald Ltd,"Food, drink & tobacco industry",403.596,Scotland
9516,Aston Mill,361190,346800,Oakes Millers Ltd,"Food, drink & tobacco industry",395.2538182,England
12077,Peterborough,521310,298610,Meadow Foods Ltd,"Food, drink & tobacco industry",394.9876364,England
14953,Discovery Park,633292,159603,Discovery Park Management Ltd,Commercial,382.1891155,England
13944,East Coast Viners Grain,379605,781270,East Coast Viners Grain LLP,"Agriculture, forestry & fishing",356.6157273,Scotland
41370,Woodland Mill,411170,416440,Wooltex UK Ltd,"Textiles, clothing, leather & footwear",345.8574545,England
